index,word,_score,_pvalue
3981,hơn,5104.6987482825925,0.0
6573,so,4964.722949141924,0.0
9324,đối_thủ,4767.860840542423,0.0
5737,nhỉnh,1148.3108350763594,1.0447282909177798e-251
6044,phân,988.2583919333955,6.40447157119883e-217
4345,khúc,981.6825043443478,1.7213371824963952e-215
8561,với,713.0877940941516,4.2629928398332265e-157
6577,so_sánh,460.55717962148685,3.63613095729723e-102
5751,nhờ,453.9436664049788,9.997073191185466e-101
8489,vượt_trội,404.0154294042169,7.35930691742104e-90
4043,hẳn,383.16638773231335,2.5444639584892498e-85
7017,thua_kém,374.7927009699162,1.6931382659113462e-83
3443,giá,356.0586213074452,2.0315185622216692e-79
8536,về,340.64127029382183,4.6260862236999925e-76
2179,chiều,339.0431027859301,1.0310189313205326e-75
5663,nhất,289.7075104325896,5.758206733579453e-65
5345,mức,280.17914215267194,6.863695427119179e-63
9107,đôi_chút,259.66739163548345,2.0277620767746815e-58
2709,cũ,253.8528065104004,3.754207327864577e-57
4506,kích_thước,247.62040415531524,8.574775810669588e-56
4950,lợi_thế,236.6669021406073,2.0964785374666956e-53
7818,tuy_nhiên,232.80435520245499,1.458059433444309e-52
2724,cơ_sở,228.3064248989811,1.3953684079607822e-51
5638,nhưng,227.68815131192864,1.90339570585269e-51
2067,cao,225.04088443372663,7.192722886554117e-51
7380,tiền_nhiệm,224.79970009288726,8.11889016334486e-51
8126,tốt,223.10345226767248,1.9031041180696467e-50
1776,bán,211.11418815325067,7.84846133375213e-48
3016,dài,194.15849082556727,3.932534748668928e-44
7117,thông_số,190.59216094392835,2.360892067720736e-43
4938,lớn,184.58372305989204,4.838106100136089e-42
5564,nhiều,177.93425541749815,1.3692106374932116e-40
4479,kém,177.72936713657103,1.5177793407893788e-40
5314,một_chút,172.6575955995059,1.9442261207547226e-39
2308,chút,167.55690627327957,2.5280441415188893e-38
8769,xét,155.8178906575664,9.278174269656932e-36
4260,khoảng,152.27871347748766,5.506953071306442e-35
8103,tỏ,148.7892834861695,3.1886032043309362e-34
2644,có,148.59967315051134,3.5078994274040597e-34
2646,có_giá,145.24495200303915,1.898491531283139e-33
7576,triệu,145.1979555590528,1.943941311668935e-33
6446,rộng,141.83328459045237,1.0576323694259881e-32
6438,rẻ,141.2178900892501,1.4417742938048767e-32
7170,thấy,128.79654080765587,7.513903503753317e-30
7918,tích_hợp,119.20918102973015,9.424769545689532e-28
7016,thua,117.87834949860266,1.843552322055622e-27
7161,thấp,114.11668267348608,1.2286182890445206e-26
7019,thua_thiệt,106.95166234575268,4.561608894902243e-25
9278,đều,103.61913078491943,2.451980909315015e-24
9348,đồng,100.33570354091377,1.2863690922912915e-23
