index,word,_score,_pvalue
3872,hơn,5104.6987482825925,0.0
6385,so,4964.722949141924,0.0
9003,đối_thủ,4767.860840542423,0.0
5562,nhỉnh,1148.3108350763594,1.0447282909177798e-251
5864,phân,988.2583919333955,6.40447157119883e-217
4230,khúc,981.6825043443478,1.7213371824963952e-215
8258,với,713.0877940941516,4.2629928398332265e-157
6389,so_sánh,460.55717962148685,3.63613095729723e-102
5576,nhờ,453.9436664049788,9.997073191185466e-101
8189,vượt_trội,404.0154294042169,7.35930691742104e-90
3931,hẳn,383.16638773231335,2.5444639584892498e-85
6811,thua_kém,374.7927009699162,1.6931382659113462e-83
3374,giá,355.3128582787663,2.95266342849059e-79
8233,về,340.64127029382183,4.6260862236999925e-76
2140,chiều,339.0431027859301,1.0310189313205326e-75
5516,nhất,289.7075104325896,5.758206733579453e-65
5203,mức,280.17914215267194,6.863695427119179e-63
8787,đôi_chút,265.24213400234777,1.2356601021282504e-59
2668,cũ,253.8528065104004,3.754207327864577e-57
4381,kích_thước,247.62040415531524,8.574775810669588e-56
4818,lợi_thế,236.6669021406073,2.0964785374666956e-53
7566,tuy_nhiên,232.80435520245499,1.458059433444309e-52
2683,cơ_sở,228.3064248989811,1.3953684079607822e-51
5491,nhưng,227.68815131192864,1.90339570585269e-51
7171,tiền_nhiệm,227.59735995810271,1.9921867068371403e-51
2029,cao,224.51425635508167,9.370299773438521e-51
7868,tốt,223.10345226767248,1.9031041180696467e-50
1752,bán,211.11418815325067,7.84846133375213e-48
2972,dài,193.38507874535458,5.80062590593469e-44
6909,thông_số,190.59216094392835,2.360892067720736e-43
4806,lớn,184.58372305989204,4.838106100136089e-42
5171,một_chút,180.66397877686293,3.470949189298254e-41
4354,kém,180.0130933065276,4.814614481499041e-41
5418,nhiều,177.93425541749815,1.3692106374932116e-40
2268,chút,167.55690627327957,2.5280441415188893e-38
8455,xét,155.8178906575664,9.278174269656932e-36
4146,khoảng,151.4673694725385,8.283955338099315e-35
7845,tỏ,148.7892834861695,3.1886032043309362e-34
2603,có,148.59967315051134,3.5078994274040597e-34
2605,có_giá,146.53920439782075,9.89610930257869e-34
7331,triệu,145.1979555590528,1.943941311668935e-33
6268,rộng,141.83328459045237,1.0576323694259881e-32
6260,rẻ,141.2178900892501,1.4417742938048767e-32
6962,thấy,128.06993362396307,1.0835686710229177e-29
7666,tích_hợp,119.48970515092873,8.181887870167406e-28
6810,thua,117.87834949860266,1.843552322055622e-27
6953,thấp,114.11668267348608,1.2286182890445206e-26
6813,thua_thiệt,106.95166234575268,4.561608894902243e-25
8958,đều,103.61913078491943,2.451980909315015e-24
5489,như_vậy,100.00897436409565,1.5170808161024463e-23
9027,đồng,99.88000430378155,1.619157418896849e-23
9090,đời,95.85134680038644,1.2384173955796768e-22
7318,triton,91.66231942560192,1.0280391598774306e-21
3009,dù,91.62357001656818,1.0483683452458948e-21
4945,mm,82.84889492747094,8.857175279781898e-20
6227,rõ_ràng,82.41052650036585,1.105634080107251e-19
8678,điện,79.50558311981096,4.808645475056476e-19
4724,lại,78.63685195066239,7.46438859529883e-19
2671,cũng,77.85075879829499,1.1112744543047126e-18
2357,chỉnh,76.81758083843215,1.875010020805573e-18
2856,da,75.74277101251141,3.2313193263023848e-18
7529,trục,70.60310171847718,4.368297202555824e-17
7739,tương_tự,70.14101610048957,5.521292400216462e-17
8917,đắt,69.89807285547293,6.244943322098173e-17
6602,sở_hữu,69.7810681729533,6.626585375950327e-17
7503,trội,69.3868812228598,8.092514287096841e-17
8751,đèn,68.60811521003457,1.2010882584586694e-16
2434,city,68.39570762552975,1.3376842172388565e-16
1951,bọc,66.82406556537211,2.9685198632419613e-16
7565,tuy,66.78511937162293,3.027750453533792e-16
3547,gập,66.17953299046016,4.1166507787184116e-16
8726,đáng_kể,65.97632469668717,4.563721183874694e-16
6271,rộng_rãi,65.94545489782286,4.63576219958968e-16
3541,gầm,65.1253978562024,7.028041030349945e-16
3950,hệ_thống,64.07590310684846,1.1971687932738967e-15
6632,sử_dụng,63.91697338017184,1.2977473087429386e-15
3331,ghế,63.55548266387922,1.5591306774173497e-15
9120,ưu_thế,63.109134152284874,1.955651032146026e-15
7943,tự_động,62.31492780105045,2.9269796954082585e-15
5230,navara,61.59816338082107,4.2121134598501384e-15
3074,dẫn_động,59.157964484675816,1.455092153860262e-14
4873,mazda,58.737166585818144,1.8020510925519702e-14
4921,mitsubishi,58.081340905895615,2.515005239071844e-14
3905,hấp_dẫn,57.81776562306815,2.875608341010445e-14
3694,honda,57.75702461851396,2.965790234133944e-14
9035,đồng_hương,56.935306410121925,4.5038688551038905e-14
4642,lép_vế,53.332599020891706,2.815945755779471e-13
4411,kết_hợp,52.680505538884944,3.924673857952933e-13
1936,bề_thế,52.64687642744296,3.992453603170545e-13
6684,tay,52.471662667394455,4.3650147446322294e-13
8187,vượt,52.20051683746328,5.011294400084679e-13
5696,nếu,51.33364795470642,7.792841991100345e-13
6883,thì,50.89633834679178,9.737507092382059e-13
3946,hề,48.900529271549,2.6927807313480084e-12
7388,trên,47.97193703662072,4.323634187329883e-12
6993,thế_hệ,47.69952765023827,4.9681131523864715e-12
5716,nổi_trội,47.54421066671431,5.3777340935673014e-12
2704,cạnh_tranh,45.78917746499582,1.316890856341126e-11
8628,đang,45.51821036392203,1.5122627698447534e-11
3947,hệ,45.18490682486788,1.7928147874987942e-11
5126,mặt,44.78036543257228,2.204219580531551e-11
4185,khách_hàng,44.716292244770784,2.2775427572846318e-11
1879,bấm,44.221308239845115,2.932715103086963e-11
2144,cho,44.12566111625867,3.079571933744298e-11
2288,chạy,44.07813304135248,3.1552616854942404e-11
4419,kết_nối,43.154896232350914,5.0573179671104045e-11
5932,phần,43.1513011804351,5.0666190384944953e-11
3718,hoàn_toàn,43.10723831655319,5.1820185602101374e-11
2764,cầu,43.01398234674117,5.435003765431529e-11
