index,word,_score,_pvalue
6386,so,6979.083304347156,0.0
9004,đối_thủ,5602.321497652282,0.0
3873,hơn,4183.935704798652,0.0
8259,với,794.6936614569158,7.687044859615788e-175
5563,nhỉnh,710.3602890915712,1.670377497273128e-156
4231,khúc,636.5700568210968,1.8616835641168867e-140
5865,phân,633.3782858792282,9.206153779911535e-140
8190,vượt_trội,487.3070251758121,5.492575372511198e-108
3932,hẳn,411.1437126344947,2.0661908819547266e-91
2140,chiều,361.7231848371321,1.1867735902952309e-80
5577,nhờ,326.9444750282394,4.449323950250463e-73
2669,cũ,325.7297756520089,8.182123632054993e-73
8234,về,309.81107972554656,2.4009313456620414e-69
7172,tiền_nhiệm,307.98969676525877,5.986324375135997e-69
3375,giá,301.6689636897275,1.4261450556102381e-67
5204,mức,279.94998051638765,7.700098022147844e-63
4382,kích_thước,279.5209927922983,9.549495332542067e-63
2684,cơ_sở,258.26390162081236,4.101558560512113e-58
7869,tốt,253.2226221772816,5.1510598980216e-57
2973,dài,234.8764451146002,5.151320290837169e-53
6910,thông_số,232.01130020076604,2.1712991902186453e-52
5492,nhưng,222.50037306695506,2.5763338844201345e-50
5517,nhất,217.17632616488743,3.735223341418989e-49
2029,cao,213.60864973964783,2.2417740692748994e-48
4819,lợi_thế,212.19001894036558,4.5716951466428585e-48
8788,đôi_chút,193.12313142134536,6.616790127459198e-44
6269,rộng,190.90276942569272,2.0196605141006228e-43
5419,nhiều,188.48162989203877,6.8196998889858694e-43
4807,lớn,178.37542426536544,1.0968312447688425e-40
4147,khoảng,170.71610007295683,5.161369691625092e-39
5172,một_chút,151.3532060175302,8.773839036364309e-35
6261,rẻ,149.04477952065605,2.803835333682745e-34
2603,có,142.94115585799284,6.054759816261509e-33
6954,thấp,141.52644941447576,1.2343178366929576e-32
8456,xét,140.41866759311452,2.1560645559889786e-32
1752,bán,136.07133170054803,1.9248967672564654e-31
7332,triệu,135.10897028594385,3.1253658067942922e-31
7567,tuy_nhiên,130.36958978533718,3.4016178182126024e-30
2605,có_giá,128.51867227380703,8.643028816406438e-30
4355,kém,122.89150340968555,1.472866643823152e-28
6963,thấy,120.16708971082207,5.815050497463417e-28
5490,như_vậy,110.46451217934259,7.752081698042365e-26
6633,sử_dụng,109.56448247453245,1.2206829617155268e-25
3010,dù,102.77700319036956,3.7507833373367035e-24
4946,mm,96.92218159032504,7.21063292148345e-23
7530,trục,95.90528661877079,1.20513145406101e-22
7740,tương_tự,94.87494522052363,2.028004601002798e-22
3542,gầm,94.07910012783711,3.031634733739785e-22
7846,tỏ,90.85015756734289,1.5497467635116355e-21
6228,rõ_ràng,90.01945659415753,2.3582940564686998e-21
8959,đều,87.39604966154319,8.88277284513841e-21
8727,đáng_kể,87.19859910449463,9.815329654628685e-21
7944,tự_động,85.58908933067525,2.21494216579961e-20
8188,vượt,83.7702731573503,5.557421860503092e-20
9028,đồng,83.28488870577736,7.104059179053897e-20
7667,tích_hợp,83.12832194075732,7.689603225947336e-20
9091,đời,82.54925098835494,1.0306967709785043e-19
4186,khách_hàng,81.78391976527726,1.5180868129061153e-19
2357,chỉnh,80.7403535771652,2.574115364594252e-19
6812,thua_kém,78.57467670513384,7.7030561987600455e-19
4725,lại,77.26009799919073,1.4986332304196155e-18
7319,triton,76.7185678541493,1.9714110971267727e-18
2268,chút,76.05560678852616,2.7578814598594807e-18
8679,điện,73.8293415471872,8.517112115641625e-18
7504,trội,72.98214130464844,1.3082830252210951e-17
2672,cũng,72.47636104680016,1.690447451680446e-17
6994,thế_hệ,66.14085276843312,4.1982346437016384e-16
3951,hệ_thống,65.80394424414388,4.98084556129355e-16
2857,da,63.43805623888235,1.6548977436925237e-15
1936,bề_thế,62.63163319534952,2.4921828250437464e-15
744,40mm,62.2160859083936,3.077636927758671e-15
9036,đồng_hương,61.24764610669096,5.0328697609059935e-15
4625,lái,60.82177183210751,6.2483057470165264e-15
3719,hoàn_toàn,59.70171030130358,1.1038057764704196e-14
5933,phần,58.5047524237212,2.0280047939010365e-14
1045,5mm,57.77207977207978,2.943177531173036e-14
3880,hướng,57.4371308689126,3.489569623302003e-14
8918,đắt,57.38410904880629,3.584920354247133e-14
7566,tuy,56.99845746846125,4.361538698491629e-14
6272,rộng_rãi,56.80878415674459,4.803160690280889e-14
6745,thay_đổi,56.17583960267247,6.627090034467203e-14
2705,cạnh_tranh,55.79129507642776,8.058758690844453e-14
1951,bọc,55.786913066157545,8.076741553576676e-14
6603,sở_hữu,55.109927761164556,1.139737735910812e-13
3332,ghế,53.62278246885575,2.429259355488915e-13
8752,đèn,53.60743948700074,2.4483053614640514e-13
2434,city,52.64799391131865,3.9901826015840613e-13
5381,ngắn,52.0249494398424,5.479989845154074e-13
5231,navara,51.4004700882584,7.532050198063323e-13
3548,gập,50.298775605470674,1.320318947807149e-12
6685,tay,49.72506747652969,1.768716006031014e-12
8629,đang,49.64579282016203,1.8416458767395798e-12
7897,tổng_thể,49.55447858770163,1.9293891386345073e-12
1839,bản,48.93422197141697,2.646919416108648e-12
531,25mm,48.8840674994521,2.7154762443226732e-12
7389,trên,48.61500535593558,3.1147689596761846e-12
9121,ưu_thế,48.17827233876362,3.891769206639573e-12
6500,sáng,47.85273521916535,4.59465629439911e-12
2825,của,45.61037623151579,1.4427527429376831e-11
6814,thua_thiệt,45.039716821210035,1.9307848697758306e-11
5539,nhật_bản,43.87295778103664,3.503968526014522e-11
2288,chạy,43.45053462381071,4.3481283568598136e-11
7852,tốc_độ,42.46756385896376,7.186416613150719e-11
1879,bấm,42.0097510053483,9.081940608999338e-11
3695,honda,41.091234712427685,1.4528643373402012e-10
