,index,word,_score,_pvalue
0,2896,động_cơ,733.9153201568743,9.282537651196615e-159
1,24,102,668.3999999999999,1.4924188662978042e-144
2,51,134,668.3999999999999,1.4924188662978042e-144
3,2617,vận_hành,457.4538303031345,7.910844764644782e-99
4,924,công_suất,427.5187084103952,2.4205939631306452e-92
5,1663,mã_lực,415.7745831275445,8.474347066140652e-90
6,729,cao_tốc,334.19999999999993,3.932140978158123e-72
7,2829,đấu_sĩ,334.19999999999993,3.932140978158123e-72
8,1177,gài,334.19999999999993,3.932140978158123e-72
9,2448,tài_xế,334.19999999999993,3.932140978158123e-72
10,2819,đường_xá,334.19999999999993,3.932140978158123e-72
11,822,chịu_thua_kém,334.19999999999993,3.932140978158123e-72
12,2679,xoắn,269.23204181306266,4.524937367856932e-58
13,1619,men,265.7807135689905,2.5250969245554748e-57
14,1669,mô,265.7807135689905,2.5250969245554748e-57
15,2132,sức_mạnh,243.72698584526526,1.487717250642832e-52
16,1846,nm,227.0140014412409,6.1150907096356014e-49
17,1683,mạnh_mẽ,197.7669538275484,1.2812920209838571e-42
18,2513,tối_đa,195.8906149347242,3.2586716967423544e-42
19,1495,lanh,184.33893105177472,1.019519166653517e-39
20,1496,lanh_lẹ,170.28156424581007,1.1063189970323262e-36
21,1015,dung_tích,167.02974870884842,5.570126164648036e-36
22,2212,thích_thú,166.17201365187717,8.531296701402065e-36
23,2200,thành_phố,166.17201365187717,8.531296701402065e-36
24,1413,khả_năng,156.13579477259384,1.2502288839393742e-33
25,2723,áp,140.99614274362582,2.3049863853800715e-30
26,703,bốn,132.54573418856475,1.5290536529357096e-28
27,993,cực_đại,125.61512885318439,4.763205921785089e-27
28,2696,xăng,104.27691734846768,1.8693721001423698e-22
29,142,188,100.86703910614524,1.0117164074865764e-21
30,2348,trang_bị_động_cơ,98.48806491774059,3.2852213778603915e-21
31,2690,xy,91.30844609973103,1.1468297666086634e-19
32,2422,trợ_lực,83.28480942665928,6.0573145221454996e-18
33,966,cầu,82.3740614334471,9.499801865232727e-18
34,2474,tăng,81.75439409713569,1.2902458913513004e-17
35,1424,khối,81.58307374650731,1.4042016269517993e-17
36,2110,sản_sinh,80.70259372954283,2.169317056317778e-17
37,2780,đánh,80.14677453335018,2.8546502863667414e-17
38,813,chế_độ,79.12243674566707,4.7343404142688124e-17
39,2332,toyota_rush,78.71196621234766,5.798159665802021e-17
40,1939,phút,67.43720256569418,1.5096972254475477e-14
41,1827,nhẹ_nhàng,65.97187484508171,3.107766346710536e-14
42,1342,hộp_số,63.99359914042075,8.233964842620721e-14
43,2485,tương_tự,63.65711505030752,9.717736067367918e-14
44,2670,xi,63.48890804991376,1.0556829649435948e-13
45,1897,off,62.94088072584841,1.3826444819487474e-13
46,2009,road,62.94088072584841,1.3826444819487474e-13
47,1561,lưng_chừng,61.07407407407406,3.4653398274920353e-13
48,2434,turbocharge,61.07407407407406,3.4653398274920353e-13
49,2435,turbocharged,61.07407407407406,3.4653398274920353e-13
50,1635,momen,61.07407407407406,3.4653398274920353e-13
51,2295,tiến,61.07407407407406,3.4653398274920353e-13
52,2429,tsi,61.07407407407406,3.4653398274920353e-13
53,792,chơi,61.07407407407406,3.4653398274920353e-13
54,1869,nước_rút,61.07407407407406,3.4653398274920353e-13
55,2562,vgs,61.07407407407406,3.4653398274920353e-13
56,149,192,61.07407407407406,3.4653398274920353e-13
57,928,cú,61.07407407407406,3.4653398274920353e-13
58,1828,nhẹ_tay,61.07407407407406,3.4653398274920353e-13
59,2055,sl,61.07407407407406,3.4653398274920353e-13
60,234,295,61.07407407407406,3.4653398274920353e-13
61,2269,thử,61.07407407407406,3.4653398274920353e-13
62,753,chiến_binh,61.07407407407406,3.4653398274920353e-13
63,2664,xe_tăng_tốc,61.07407407407406,3.4653398274920353e-13
64,1127,ghì,61.07407407407406,3.4653398274920353e-13
65,28,107,61.07407407407406,3.4653398274920353e-13
66,55,139,61.07407407407406,3.4653398274920353e-13
67,2718,zotye,61.07407407407406,3.4653398274920353e-13
68,1154,giảm_tốc_độ,61.07407407407406,3.4653398274920353e-13
69,110,170,61.07407407407406,3.4653398274920353e-13
70,272,370,61.07407407407406,3.4653398274920353e-13
71,2861,địch,61.07407407407406,3.4653398274920353e-13
72,2691,xylanh,61.07407407407406,3.4653398274920353e-13
73,1343,hộp_số_ít,61.07407407407406,3.4653398274920353e-13
74,1355,i4,61.07407407407406,3.4653398274920353e-13
75,277,38,61.07407407407406,3.4653398274920353e-13
76,1789,nhiệm_vụ,61.07407407407406,3.4653398274920353e-13
77,1682,mạnh,58.41251940877645,1.2833006420854583e-12
78,1215,hay,57.49624365376647,2.0136069369495e-12
79,963,cầm,54.63344709897611,8.220698659008512e-12
80,2671,xi_lanh,50.17877094972068,7.318605186795538e-11
81,2242,thẳng,49.49216542414246,1.0248125538407213e-10
82,1470,kích_thước,46.56819592505606,4.294099720176246e-10
83,960,cấp,45.91370848252653,5.916212697726293e-10
84,2433,turbo,45.6882601820196,6.606542813946777e-10
85,1012,dohc,41.81564245810056,4.390305374675592e-09
86,1024,dài,40.759726962457336,7.353285255968131e-09
87,1230,hiện_hành,40.21851392834671,9.57713169795881e-09
88,758,chiều,38.940492573188436,1.786784095061056e-08
89,2715,yếu_thế,38.43345552606076,2.288045228146074e-08
90,1139,giá,38.13856754702062,2.6418453157089222e-08
91,2232,thấp,37.6611241749877,3.334121432272385e-08
92,2135,sử_dụng,36.944364676337905,4.727796365910417e-08
93,614,beijing,35.51338515284213,9.489698882257134e-08
94,122,177,33.71860128284709,2.271559277253491e-07
95,60,141,33.71860128284709,2.271559277253491e-07
96,1996,ra_sức_mạnh,33.71860128284709,2.271559277253491e-07
97,2587,vvt,33.71860128284709,2.271559277253491e-07
98,2560,van,33.452513966480446,2.585104544779254e-07
99,1979,quay_vòng,32.78662116040956,3.5723277215112383e-07
