word_idx,word,IBO_tag
383,Về,0
383,trang_bị,0
383,an_toàn,0
383,",",0
383,Toyota_Vios,1
383,GR,2
383,-,2
383,S,2
383,2021,2
383,nhỉnh,0
383,hơn,0
383,nhờ,0
383,hệ_thống,0
383,kiểm_soát,0
383,lực,0
383,kéo,0
383,và,0
383,cảm_biến,0
383,lùi,0
220,Điểm,0
220,vượt_trội,0
220,của,0
220,Sorento,1
220,so,0
220,với,0
220,đối_thủ,3
220,đến,0
220,từ,0
220,công_nghệ,0
220,an_toàn,0
220,Trong,0
220,khi,0
220,đó,0
220,",",0
220,Kia,1
220,Sorento,2
220,2021,2
220,là,0
220,một,0
220,chiếc,0
220,xe,0
220,trẻ_trung,0
220,",",0
220,nội_thất,0
220,tiện_nghi,0
220,",",0
220,công_nghệ,0
220,an_toàn,0
220,dẫn_đầu,0
220,và,0
220,mang,0
220,đến,0
220,những,0
220,trải,0
220,nghiệm,0
220,êm_ái,0
220,cho,0
220,người,0
220,dùng,0
442,Trong,0
442,khi,0
442,đó,0
442,",",0
442,Ford,1
442,EcoSport,2
442,vẫn,0
442,mang,0
442,đến,0
442,những,0
442,tính_năng,0
442,an_toàn,0
442,khá,0
442,cơ_bản,0
442,nếu,0
442,không,0
442,muốn,0
442,nói,0
442,là,0
442,thiếu,0
442,khá,0
442,nhiều,0
442,so,0
442,với,0
442,đối_thủ,3
442,Đặc_biệt,0
442,",",0
442,chiếc,1
442,xe,2
442,này,2
442,có,0
442,những,0
442,công_nghệ,0
442,an_toàn,0
442,hàng_đầu,0
442,phân,3
442,khúc,4
442,xứng_đáng,0
442,là,0
442,lựa_chọn,0
442,đáng,0
442,tiền,0
442,ở,0
442,thời_điểm,0
442,hiện_tại,0
376,Nhờ,0
376,đó,0
376,",",0
376,những,0
376,chiếc,0
376,xe,0
376,Subaru,1
376,luôn,0
376,được,0
376,biết,0
376,đến,0
376,là,0
376,an_toàn,0
376,nhất,0
376,thế_giới,3
376,So,0
376,với,0
376,CR,3
376,-,4
376,V,4
376,",",0
376,đội_ngũ,0
376,so_sánh,0
376,xe,0
376,chúng_tôi,0
376,cảm_thấy,0
376,an_toàn,0
376,hơn,0
376,với,0
376,loạt,0
376,tính_năng,0
376,hỗ_trợ,0
376,người,0
376,lái,0
376,thuộc,0
376,gói,0
376,an_toàn,0
376,EyeSight,0
491,Với,0
491,những,0
491,công_nghệ,0
491,an_toàn,0
491,được,0
491,trang_bị,0
491,",",0
491,Mitsubishi,1
491,Xpander,2
491,2020,2
491,đang,0
491,tỏ,0
491,ra,0
491,vượt_trội,0
491,hơn,0
491,đối_thủ,3
359,Ford,1
359,Everest,2
359,là,0
359,mẫu,0
359,xe,0
359,đi,0
359,đầu,0
359,trong,0
359,việc,0
359,trang_bị,0
359,những,0
359,công_nghệ,0
359,an_toàn,0
359,tiên_tiến,0
359,và,0
359,hiện_đại,0
359,nhất,0
359,trong,0
359,phân,3
359,khúc,4
359,SUV,4
359,7,4
359,chỗ,4
359,tại,4
359,Việt_Nam,4
359,từ,0
359,2,0
359,năm,0
359,trước,0
359,Mitsubishi,1
359,Pajero,2
359,Sport,2
359,2021,2
359,mới,0
359,được,0
359,nâng_cấp,0
359,với,0
359,ngoại_hình,0
359,trẻ_trung,0
359,hơn,0
359,và,0
359,đặc_biệt,0
359,là,0
359,mẫu,0
359,SUV,0
359,này,0
359,giờ_đây,0
359,đã,0
359,đầy_ắp,0
359,công_nghệ,0
359,an_toàn,0
359,so,0
359,với,0
359,chính,3
359,phiên_bản,4
359,tiền_nhiệm,4
432,Toyota_Fortuner,1
432,2021,2
432,bổ_sung,0
432,bản,0
432,Legender,0
432,với,0
432,ngoại_hình,0
432,tươi,0
432,mới,0
432,",",0
432,đặc_biệt,0
432,chiếc,0
432,xe,0
432,này,0
432,đã,0
432,sở_hữu,0
432,nhiều,0
432,công_nghệ,0
432,an_toàn,0
432,hơn,0
432,hẳn,0
432,so,0
432,với,0
432,đời,3
432,cũ,4
443,Như_vậy,0
443,",",0
443,có_thể,0
443,thấy,0
443,MG,1
443,ZS,2
443,2021,2
443,nhỉnh,0
443,hơn,0
443,đối_thủ,3
443,ở,0
443,phương_diện,0
443,an_toàn,0
443,",",0
443,đồng_thời,0
443,chiếc,0
443,xe,0
443,này,0
443,còn,0
443,mới,0
443,đạt,0
443,chứng_nhận,0
443,an_toàn,0
443,5,0
443,sao,0
443,do,0
443,ASEAN,0
443,NCAP,0
443,cấp,0
443,Tuy_nhiên,0
443,",",0
443,chiếc,1
443,xe,2
443,do,2
443,Thaco,2
443,lắp_ráp,0
443,có,0
443,khá,0
443,ít,0
443,công_nghệ,0
443,an_toàn,0
443,so,0
443,với,0
443,đối_thủ,3
443,trực_tiếp,0
443,là,0
443,một,0
443,nhược_điểm,0
443,lớn,0
443,của,0
443,xe,0
534,Trước_đây,0
534,",",0
534,Ford,1
534,Everest,2
534,luôn,0
534,dẫn_đầu,0
534,phân,3
534,khúc,4
534,nhờ,0
534,sở_hữu,0
534,hàng_loạt,0
534,công_nghệ,0
534,an_toàn,0
534,cao_cấp,0
522,Hyundai,1
522,có,0
522,cảm_biến,0
522,góc,0
522,đầu,0
522,xe,0
522,",",0
522,trang_bị,0
522,hơn,0
522,hẳn,0
522,đối_thủ,3
522,Corolla_Altis,4
494,Mitsubishi,1
494,Xpander,2
494,Cross,2
494,2020,2
494,sẽ,0
494,tương_tự,0
494,như,0
494,Xpander,3
494,đang,4
494,bán,4
494,ở,4
494,Việt_Nam,4
494,về,0
494,các,0
494,công_nghệ,0
494,an_toàn,0
484,Và,0
484,Mitsubishi,1
484,Triton,2
484,2020,2
484,và,2
484,Toyota_Hilux,2
484,2020,2
484,sở_hữu,0
484,công_nghệ,0
484,an_toàn,0
484,hàng_đầu,0
484,phân,3
484,khúc,4
484,giúp,0
484,hỗ_trợ,0
484,người,0
484,lái,0
484,an_toàn,0
484,hơn,0
484,khi,0
484,di_chuyển,0
484,trên,0
484,đường,0
425,Trong,0
425,khi,0
425,đó,0
425,",",0
425,MG,1
425,ZS,2
425,2020,2
425,có,0
425,lợi_thế,0
425,với,0
425,nhiều,0
425,công_nghệ,0
425,an_toàn,0
425,hơn,0
425,",",0
425,đây,0
425,là,0
425,yếu_tố,0
425,thường,0
425,thấy,0
425,của,0
425,những,0
425,mẫu,0
425,xe,0
425,thuộc,0
425,sở_hữu,0
425,của,0
425,người,0
425,Trung_Quốc,0
56,So,0
56,với,0
56,đối_thủ,3
56,",",0
56,Tucson,1
56,thiếu,0
56,camera,0
56,quan_sát,0
56,phía,0
56,trước,0
56,",",0
56,bởi,0
56,đơn_giản,0
56,chiếc,0
56,xe,0
56,này,0
56,không,0
56,có,0
56,gói,0
56,an_toàn,0
56,camera,0
56,360,0
56,độ,0
56,Không,0
56,có,0
56,quá,0
56,nhiều,0
56,công_nghệ,0
56,an_toàn,0
56,như,0
56,đối_thủ,3
56,nên,0
56,tay_lái,0
56,của,0
56,Tucson,1
56,chỉ,0
56,có,0
56,những,0
56,phím,0
56,chức_năng,0
56,cơ_bản,0
56,như,0
56,điều_chỉnh,0
56,âm_lượng,0
56,",",0
56,ra_lệnh,0
56,giọng,0
56,nói,0
56,",",0
56,chuyển,0
56,kênh,0
56,radio,0
56,.,0
56,.,0
437,Có_thể,0
437,nói,0
437,",",0
437,BMW,1
437,X7,2
437,2020,2
437,đang,0
437,là,0
437,chiếc,0
437,xe,0
437,dẫn_đầu,0
437,khi,0
437,được,0
437,trang,0
437,hàng_loạt,0
437,công_nghệ,0
437,an_toàn,0
437,cao_cấp,0
495,Đến,0
495,nay,0
495,",",0
495,Toyota_Rush,1
495,2020,2
495,vẫn,0
495,là,0
495,mẫu,0
495,xe,0
495,an_toàn,0
495,nhất,0
495,phân,3
495,khúc,4
495,MPV,4
495,tại,4
495,Việt_Nam,4
495,khi,0
495,đạt,0
495,tiêu_chuẩn,0
495,an_toàn,0
495,5,0
495,sao,0
495,của,0
495,ASEAN,0
495,NCAP,0
495,nhờ,0
495,hàng_loạt,0
495,tính_năng,0
495,an_toàn,0
358,Toyota_Fortuner,1
358,2020,2
358,là,0
358,mẫu,0
358,xe,0
358,hiện,0
358,được,0
